Block size	Block number	Set asociativity	Cache Hit	Cache Miss	Hit ratio
----------------------------------------------------------------------------------
16	16	4	1201807	145048	89.23
32	16	4	1275501	71354	94.70
64	16	4	1305664	41191	96.94
128	16	4	1319975	26880	98.00
16	32	4	1280587	66268	95.08
32	32	4	1308380	38475	97.14
64	32	4	1324605	22250	98.35
128	32	4	1333789	13066	99.03
16	64	4	1303946	42909	96.81
32	64	4	1322421	24434	98.19
64	64	4	1334686	12169	99.10
128	64	4	1340567	6288	99.53
16	128	4	1318317	28538	97.88
32	128	4	1333140	13715	98.98
64	128	4	1340222	6633	99.51
128	128	4	1343408	3447	99.74
16	256	4	1330547	16308	98.79
32	256	4	1338473	8382	99.38
64	256	4	1342398	4457	99.67
128	256	4	1344297	2558	99.81
16	512	4	1335200	11655	99.13
32	512	4	1340406	6449	99.52
64	512	4	1343159	3696	99.73
128	512	4	1344742	2113	99.84
16	1024	4	1336789	10066	99.25
32	1024	4	1341049	5806	99.57
64	1024	4	1343579	3276	99.76
128	1024	4	1344971	1884	99.86
16	2048	4	1337515	9340	99.31
32	2048	4	1341534	5321	99.60
64	2048	4	1343808	3047	99.77
128	2048	4	1345078	1777	99.87
16	4096	4	1338041	8814	99.35
32	4096	4	1341783	5072	99.62
64	4096	4	1343911	2944	99.78
128	4096	4	1345095	1760	99.87
16	8192	4	1338321	8534	99.37
32	8192	4	1341859	4996	99.63
64	8192	4	1343921	2934	99.78
128	8192	4	1345095	1760	99.87
16	16384	4	1338375	8480	99.37
32	16384	4	1341869	4986	99.63
64	16384	4	1343921	2934	99.78
128	16384	4	1345095	1760	99.87
16	32768	4	1338386	8469	99.37
32	32768	4	1341869	4986	99.63
64	32768	4	1343921	2934	99.78
128	32768	4	1345095	1760	99.87
16	65536	4	1338386	8469	99.37
32	65536	4	1341869	4986	99.63
64	65536	4	1343921	2934	99.78
128	65536	4	1345095	1760	99.87
16	131072	4	1338386	8469	99.37
32	131072	4	1341869	4986	99.63
64	131072	4	1343921	2934	99.78
128	131072	4	1345095	1760	99.87
16	32	8	1291941	54914	95.92
32	32	8	1311894	34961	97.40
64	32	8	1325547	21308	98.42
128	32	8	1333507	13348	99.01
16	64	8	1304355	42500	96.84
32	64	8	1322580	24275	98.20
64	64	8	1334670	12185	99.10
128	64	8	1341193	5662	99.58
16	128	8	1317461	29394	97.82
32	128	8	1333632	13223	99.02
64	128	8	1341019	5836	99.57
128	128	8	1343617	3238	99.76
16	256	8	1331946	14909	98.89
32	256	8	1339267	7588	99.44
64	256	8	1342674	4181	99.69
128	256	8	1344438	2417	99.82
16	512	8	1335778	11077	99.18
32	512	8	1340587	6268	99.53
64	512	8	1343298	3557	99.74
128	512	8	1344818	2037	99.85
16	1024	8	1337055	9800	99.27
32	1024	8	1341217	5638	99.58
64	1024	8	1343657	3198	99.76
128	1024	8	1345004	1851	99.86
16	2048	8	1337682	9173	99.32
32	2048	8	1341578	5277	99.61
64	2048	8	1343858	2997	99.78
128	2048	8	1345085	1770	99.87
16	4096	8	1338060	8795	99.35
32	4096	8	1341817	5038	99.63
64	4096	8	1343919	2936	99.78
128	4096	8	1345095	1760	99.87
16	8192	8	1338360	8495	99.37
32	8192	8	1341868	4987	99.63
64	8192	8	1343921	2934	99.78
128	8192	8	1345095	1760	99.87
16	16384	8	1338385	8470	99.37
32	16384	8	1341869	4986	99.63
64	16384	8	1343921	2934	99.78
128	16384	8	1345095	1760	99.87
16	32768	8	1338386	8469	99.37
32	32768	8	1341869	4986	99.63
64	32768	8	1343921	2934	99.78
128	32768	8	1345095	1760	99.87
16	65536	8	1338386	8469	99.37
32	65536	8	1341869	4986	99.63
64	65536	8	1343921	2934	99.78
128	65536	8	1345095	1760	99.87
16	131072	8	1338386	8469	99.37
32	131072	8	1341869	4986	99.63
64	131072	8	1343921	2934	99.78
128	131072	8	1345095	1760	99.87
16	64	16	1304331	42524	96.84
32	64	16	1322306	24549	98.18
64	64	16	1335189	11666	99.13
128	64	16	1341293	5562	99.59
16	128	16	1318013	28842	97.86
32	128	16	1334347	12508	99.07
64	128	16	1341302	5553	99.59
128	128	16	1343651	3204	99.76
16	256	16	1332555	14300	98.94
32	256	16	1339436	7419	99.45
64	256	16	1342691	4164	99.69
128	256	16	1344400	2455	99.82
16	512	16	1335844	11011	99.18
32	512	16	1340597	6258	99.54
64	512	16	1343272	3583	99.73
128	512	16	1344797	2058	99.85
16	1024	16	1337018	9837	99.27
32	1024	16	1341186	5669	99.58
64	1024	16	1343624	3231	99.76
128	1024	16	1345003	1852	99.86
16	2048	16	1337678	9177	99.32
32	2048	16	1341549	5306	99.61
64	2048	16	1343861	2994	99.78
128	2048	16	1345095	1760	99.87
16	4096	16	1338044	8811	99.35
32	4096	16	1341825	5030	99.63
64	4096	16	1343921	2934	99.78
128	4096	16	1345095	1760	99.87
16	8192	16	1338368	8487	99.37
32	8192	16	1341869	4986	99.63
64	8192	16	1343921	2934	99.78
128	8192	16	1345095	1760	99.87
16	16384	16	1338386	8469	99.37
32	16384	16	1341869	4986	99.63
64	16384	16	1343921	2934	99.78
128	16384	16	1345095	1760	99.87
16	32768	16	1338386	8469	99.37
32	32768	16	1341869	4986	99.63
64	32768	16	1343921	2934	99.78
128	32768	16	1345095	1760	99.87
16	65536	16	1338386	8469	99.37
32	65536	16	1341869	4986	99.63
64	65536	16	1343921	2934	99.78
128	65536	16	1345095	1760	99.87
16	131072	16	1338386	8469	99.37
32	131072	16	1341869	4986	99.63
64	131072	16	1343921	2934	99.78
128	131072	16	1345095	1760	99.87
16	128	32	1317794	29061	97.84
32	128	32	1334366	12489	99.07
64	128	32	1341349	5506	99.59
128	128	32	1343706	3149	99.77
16	256	32	1332863	13992	98.96
32	256	32	1339322	7533	99.44
64	256	32	1342607	4248	99.68
128	256	32	1344406	2449	99.82
16	512	32	1335790	11065	99.18
32	512	32	1340586	6269	99.53
64	512	32	1343227	3628	99.73
128	512	32	1344772	2083	99.85
16	1024	32	1336970	9885	99.27
32	1024	32	1341179	5676	99.58
64	1024	32	1343642	3213	99.76
128	1024	32	1345000	1855	99.86
16	2048	32	1337647	9208	99.32
32	2048	32	1341573	5282	99.61
64	2048	32	1343857	2998	99.78
128	2048	32	1345095	1760	99.87
16	4096	32	1338055	8800	99.35
32	4096	32	1341837	5018	99.63
64	4096	32	1343921	2934	99.78
128	4096	32	1345095	1760	99.87
16	8192	32	1338382	8473	99.37
32	8192	32	1341869	4986	99.63
64	8192	32	1343921	2934	99.78
128	8192	32	1345095	1760	99.87
16	16384	32	1338386	8469	99.37
32	16384	32	1341869	4986	99.63
64	16384	32	1343921	2934	99.78
128	16384	32	1345095	1760	99.87
16	32768	32	1338386	8469	99.37
32	32768	32	1341869	4986	99.63
64	32768	32	1343921	2934	99.78
128	32768	32	1345095	1760	99.87
16	65536	32	1338386	8469	99.37
32	65536	32	1341869	4986	99.63
64	65536	32	1343921	2934	99.78
128	65536	32	1345095	1760	99.87
16	131072	32	1338386	8469	99.37
32	131072	32	1341869	4986	99.63
64	131072	32	1343921	2934	99.78
128	131072	32	1345095	1760	99.87
